dia,tema,formato,pilar,objetivo,cta,legenda_associada,status
1,Vai abrir empresa? Não escolha CNAE no chute,Feed vertical 1080x1350,Abertura de empresa,Educar sobre a importância do enquadramento antes da abertura.,"Antes de abrir CNPJ, fale com a VL.",legendas_feed.md#post-001,pronto para revisão humana
2,MEI crescendo: quando virar ME?,Feed quadrado 1080x1080,MEI em crescimento,Mostrar sinais de transição do MEI para ME.,Sua empresa cresceu? Vamos analisar o melhor caminho.,legendas_feed.md#post-002,pronto para revisão humana
3,5 sinais de que está na hora de trocar de contador,Carrossel 1080x1350,Troca de contador,Gerar identificação e demanda por transição organizada.,Quer trocar com segurança? Fale com a VL.,legendas_carrosseis.md#carrossel-001,pronto para revisão humana
4,Prestador de serviço: Anexo III ou Anexo V?,Feed quadrado 1080x1080,Simples Nacional e Fator R,Explicar a dúvida comum de enquadramento sem prometer redução.,"Prestador de serviço, peça uma análise responsável.",legendas_feed.md#post-004,pronto para revisão humana
5,O que é Fator R?,Feed vertical 1080x1350,Simples Nacional e Fator R,Educar sobre Fator R com linguagem simples.,Chame a VL para entender se isso se aplica à sua empresa.,legendas_feed.md#post-005,pronto para revisão humana
6,MEI crescendo: quando virar ME?,Carrossel 1080x1350,MEI em crescimento,Orientar MEIs sobre sinais de transição.,Fale com a VL antes de tomar decisão.,legendas_carrosseis.md#carrossel-002,pronto para revisão humana
7,5 sinais de que está na hora de trocar de contador,Feed vertical 1080x1350,Troca de contador,Gerar identificação em leads que querem trocar de contador.,Quer trocar com segurança? Fale com a VL.,legendas_feed.md#post-007,pronto para revisão humana
8,Trocar de contador é mais simples do que parece,Feed quadrado 1080x1080,Troca de contador,Reduzir objeção de medo da troca.,A VL te orienta na transição.,legendas_feed.md#post-008,pronto para revisão humana
9,Fator R explicado de forma simples,Carrossel 1080x1350,Simples Nacional e Fator R,Educar prestadores sobre Fator R sem promessas tributárias.,Solicite uma análise com a VL.,legendas_carrosseis.md#carrossel-003,pronto para revisão humana
10,Misturar dinheiro pessoal e da empresa trava o crescimento,Feed quadrado 1080x1080,Organização financeira e contábil,Educar sobre separação financeira.,Peça apoio para organizar sua rotina financeira.,legendas_feed.md#post-010,pronto para revisão humana
11,Simples Nacional não significa simples sem análise,Feed vertical 1080x1350,Simples Nacional e Fator R,Reforçar que o Simples exige leitura mensal.,Revise seu Simples Nacional com critério.,legendas_feed.md#post-011,pronto para revisão humana
12,Abrir empresa sem análise pode sair caro,Carrossel 1080x1350,Abertura de empresa,Prevenir erros comuns na abertura de CNPJ.,Abra sua empresa com orientação.,legendas_carrosseis.md#carrossel-004,pronto para revisão humana
13,Abertura de empresa com segurança,Feed vertical 1080x1350,Abertura de empresa,Converter interessados em abertura de empresa.,Abra sua empresa com a VL.,legendas_feed.md#post-013,pronto para revisão humana
14,Documentos que sua contabilidade precisa receber,Feed quadrado 1080x1080,Organização financeira e contábil,Educar sobre rotina documental.,Organize sua rotina mensal com a VL.,legendas_feed.md#post-014,pronto para revisão humana
15,Contabilidade não é só guia,Carrossel 1080x1350,Autoridade e confiança,Reforçar posicionamento consultivo da VL.,Conte com a VL.,legendas_carrosseis.md#carrossel-005,pronto para revisão humana
16,Contabilidade consultiva: o que muda?,Feed quadrado 1080x1080,Autoridade e confiança,Diferenciar a VL de contabilidades apenas operacionais.,Conheça a visão consultiva da VL.,legendas_feed.md#post-016,pronto para revisão humana
17,MEI pode contratar funcionário?,Feed vertical 1080x1350,MEI em crescimento,Educar MEIs sobre contratação e crescimento.,"Antes de contratar, converse com a VL.",legendas_feed.md#post-017,pronto para revisão humana
18,Anexo III ou Anexo V: o que observar?,Carrossel 1080x1350,Simples Nacional e Fator R,Educar sobre variáveis de enquadramento no Simples.,Peça uma análise individualizada.,legendas_carrosseis.md#carrossel-006,pronto para revisão humana
19,Você sabe quanto sua empresa paga de imposto?,Feed vertical 1080x1350,Simples Nacional e Fator R,Incentivar revisão e entendimento tributário.,Peça uma explicação clara sobre seus impostos.,legendas_feed.md#post-019,pronto para revisão humana
20,Seu enquadramento tributário está atualizado?,Feed quadrado 1080x1080,Simples Nacional e Fator R,Converter para diagnóstico de enquadramento.,Solicite um diagnóstico contábil com a VL.,legendas_feed.md#post-020,pronto para revisão humana
21,Separar conta pessoal e conta da empresa,Carrossel 1080x1350,Organização financeira e contábil,Ensinar organização financeira básica para pequenas empresas.,Organize sua rotina com a VL.,legendas_carrosseis.md#carrossel-007,pronto para revisão humana
22,Psicólogo PJ: cuidados contábeis,Feed quadrado 1080x1080,Abertura de empresa,Atrair psicólogos que atuam ou querem atuar como PJ.,Estruture seu CNPJ com orientação.,legendas_feed.md#post-022,pronto para revisão humana
23,Dentista PJ: atenção ao enquadramento,Feed vertical 1080x1350,Simples Nacional e Fator R,Atrair dentistas e clínicas pequenas para diagnóstico.,Peça uma análise antes de decidir sozinho.,legendas_feed.md#post-023,pronto para revisão humana
24,Checklist mensal para não travar a contabilidade,Carrossel 1080x1350,Organização financeira e contábil,Orientar envio de documentos mensais.,Salve este checklist e fale com a VL.,legendas_carrosseis.md#carrossel-008,pronto para revisão humana
25,Profissional de TI: como organizar sua empresa,Feed vertical 1080x1350,Organização financeira e contábil,Atrair profissionais de tecnologia PJ.,A VL ajuda a estruturar sua rotina PJ.,legendas_feed.md#post-025,pronto para revisão humana
26,Clínica de estética: contabilidade além da guia,Feed quadrado 1080x1080,Autoridade e confiança,Atrair clínicas pequenas para atendimento consultivo.,Tenha uma contabilidade que acompanhe sua clínica.,legendas_feed.md#post-026,pronto para revisão humana
27,Pró-labore para prestadores de serviço,Carrossel 1080x1350,Simples Nacional e Fator R,Explicar a importância do pró-labore para prestadores PJ.,Revise sua rotina de pró-labore com orientação.,legendas_carrosseis.md#carrossel-009,pronto para revisão humana
28,Pequena empresa precisa de análise financeira,Feed quadrado 1080x1080,Organização financeira e contábil,Conectar contabilidade com gestão financeira.,Transforme números em decisões com a VL.,legendas_feed.md#post-028,pronto para revisão humana
29,O barato na contabilidade pode sair caro,Feed vertical 1080x1350,Troca de contador,Reposicionar valor sem parecer serviço barato.,Escolha uma contabilidade que acompanhe sua empresa.,legendas_feed.md#post-029,pronto para revisão humana
30,Diagnóstico contábil para prestadores de serviço,Carrossel 1080x1350,Conversão,Apresentar a oferta central da campanha.,Solicite um diagnóstico inicial com a VL.,legendas_carrosseis.md#carrossel-010,pronto para revisão humana
